Year,Country,Champion
1968,AUS,Ken Rosewall
1969,AUS,Rod Laver
1970,TCH,Jan Kodeš
1971,TCH,Jan Kodeš
1972,ESP,Andrés Gimeno
1973,ROU,Ilie Năstase
1974,SWE,Björn Borg
1975,SWE,Björn Borg
1976,ITA,Adriano Panatta
1977,ARG,Guillermo Vilas
1978,SWE,Björn Borg
1979,SWE,Björn Borg
1980,SWE,Björn Borg
1981,SWE,Björn Borg
1982,SWE,Mats Wilander
1983,FRA,Yannick Noah
1984,TCH,Ivan Lendl
1985,SWE,Mats Wilander
1986,TCH,Ivan Lendl
1987,TCH,Ivan Lendl
1988,SWE,Mats Wilander
1989,USA,Michael Chang
1990,ECU,Andrés Gómez
1991,USA,Jim Courier
1992,USA,Jim Courier
1993,ESP,Sergi Bruguera
1994,ESP,Sergi Bruguera
1995,AUT,Thomas Muster
1996,RUS,Yevgeny Kafelnikov
1997,BRA,Gustavo Kuerten
1998,ESP,Carlos Moyá
1999,USA,Andre Agassi
2000,BRA,Gustavo Kuerten
2001,BRA,Gustavo Kuerten
2002,ESP,Albert Costa
2003,ESP,Juan Carlos Ferrero
2004,ARG,Gastón Gaudio
2005,ESP,Rafael Nadal
2006,ESP,Rafael Nadal
2007,ESP,Rafael Nadal
2008,ESP,Rafael Nadal
2009,SUI,Roger Federer
2010,ESP,Rafael Nadal
2011,ESP,Rafael Nadal
2012,ESP,Rafael Nadal
2013,ESP,Rafael Nadal
2014,ESP,Rafael Nadal
2015,SUI,Stan Wawrinka
2016,SRB,Novak Djokovic
2017,ESP,Rafael Nadal
2018,ESP,Rafael Nadal
2019,ESP,Rafael Nadal
2020,ESP,Rafael Nadal
2021,SRB,Novak Djokovic
2022,ESP,Rafael Nadal
2023,SRB,Novak Djokovic
2024,ESP,Carlos Alcaraz
